,Date,Value,Ticker,pct
714,2016-03-31,-19.0,EFC,-1.0290408865112723
715,2015-12-31,654.25,EFC,0.6807100470110721
716,2015-09-30,389.27,EFC,0.07186716964506967
717,2015-06-30,363.17,EFC,0.07399083247079719
718,2015-03-31,338.15,EFC,-1.5597027277542372
719,2014-12-31,-604.16,EFC,0.7683594321674228
720,2014-09-30,-341.65,EFC,-8.055968608013217
721,2014-06-30,48.42,EFC,-0.27012360566777205
722,2014-03-31,66.34,EFC,-1.2714624764710698
723,2013-12-31,-244.38,EFC,-0.3385481513560331
724,2013-09-30,-369.46,EFC,0.16394682124629822
725,2013-06-30,-317.42,EFC,10.960060286360212
726,2013-03-31,-26.54,EFC,-0.4836575875486381
727,2012-12-31,-51.4,EFC,-1.2773880194279545
728,2012-09-30,185.3,EFC,11.040285899935023
729,2012-06-30,15.39,EFC,-1.4943784131063285
730,2012-03-31,-31.13,EFC,-0.3439409905163331
731,2011-12-31,-47.45,EFC,-0.26113360323886636
732,2011-09-30,-64.22,EFC,-5.330411328388402
733,2011-06-30,14.83,EFC,-1.1580517958009167
734,2011-03-31,-93.83,EFC,-0.7300244569126744
735,2010-12-31,-347.55,EFC,-3.9049648946840523
736,2010-09-30,119.64,EFC,-0.2399949180536145
737,2010-06-30,157.42,EFC,0.1467074592074591
738,2010-03-31,137.28,EFC,-1.5067926757235677
740,2009-09-30,-270.88,EFC,
742,2021-09-30,,PMT,0.0
743,2021-06-30,,PMT,0.0
744,2021-03-31,,PMT,0.0
745,2020-12-31,715.16,PMT,0.038209163230938925
746,2020-09-30,688.84,PMT,-1.7793365615241887
747,2020-06-30,,PMT,0.0
748,2020-03-31,,PMT,0.0
749,2019-12-31,,PMT,0.0
750,2019-09-30,,PMT,0.0
751,2019-06-30,-883.88,PMT,-6.4627935723114955
752,2019-03-31,161.8,PMT,-1.3409474039109912
753,2018-12-31,-474.56,PMT,-0.3379371922041323
754,2018-09-30,-716.79,PMT,0.35861180083018995
755,2018-06-30,-527.59,PMT,-4.405564162148206
756,2018-03-31,154.92,PMT,-0.6028201512626588
757,2017-12-31,390.05,PMT,-0.0799405576260791
758,2017-09-30,423.94,PMT,0.09040870392757006
759,2017-06-30,388.79,PMT,-0.15224264625716843
760,2017-03-31,458.61,PMT,-2.185467611022075
761,2016-12-31,-386.86,PMT,-0.36714161854438965
762,2016-09-30,-611.29,PMT,13.285814442626782
763,2016-06-30,-42.79,PMT,-2.6886345698500396
764,2016-03-31,25.34,PMT,-1.0407159843177582
765,2015-12-31,-622.36,PMT,0.7709862842183142
766,2015-09-30,-351.42,PMT,-0.488583278760096
767,2015-06-30,,PMT,0.0
768,2015-03-31,-687.15,PMT,2.8334728033472802
769,2014-12-31,-179.25,PMT,-0.30059697998361234
770,2014-09-30,-256.29,PMT,-0.4732720882915099
771,2014-06-30,-486.57,PMT,-4.387191089453532
772,2014-03-31,143.65,PMT,-2.1838635239821986
773,2013-12-31,-121.34,PMT,-0.6367935823754789
774,2013-09-30,-334.08,PMT,-0.11516050429070879
775,2013-06-30,-377.56,PMT,0.676926493448812
776,2013-03-31,-225.15,PMT,-0.6708525817203672
777,2012-12-31,-684.04,PMT,0.24836207683182754
778,2012-09-30,-547.95,PMT,1.84915765391015
779,2012-06-30,-192.32,PMT,-3.3603338242513496
780,2012-03-31,81.48,PMT,-1.3691387668191908
781,2011-12-31,-220.73,PMT,5.196799550814149
782,2011-09-30,-35.62,PMT,1.6365655070318281
783,2011-06-30,-13.51,PMT,-0.053258584442887114
784,2011-03-31,-14.27,PMT,2.08207343412527
785,2010-12-31,-4.63,PMT,-0.7805687203791469
786,2010-09-30,-21.1,PMT,0.6343919442292798
787,2010-06-30,-12.91,PMT,3.7814814814814808
788,2010-03-31,-2.7,PMT,2.802816901408451
790,2009-09-30,-0.71,PMT,
793,2021-09-30,-20.13,RKDA,0.7278969957081545
794,2021-06-30,-11.65,RKDA,1.2447013487475913
795,2021-03-31,-5.19,RKDA,-0.840552995391705
796,2020-12-31,-32.55,RKDA,0.276470588235294
797,2020-09-30,-25.5,RKDA,0.39344262295081966
798,2020-06-30,-18.3,RKDA,0.8208955223880596
799,2020-03-31,-10.05,RKDA,-0.4614147909967845
800,2019-12-31,-18.66,RKDA,0.4287901990811638
801,2019-09-30,-13.06,RKDA,0.49427917620137296
802,2019-06-30,-8.74,RKDA,1.1527093596059115
803,2019-03-31,-4.06,RKDA,-0.7072819033886085
804,2018-12-31,-13.87,RKDA,0.2586206896551724
805,2018-09-30,-11.02,RKDA,0.5787965616045843
806,2018-06-30,-6.98,RKDA,1.643939393939394
807,2018-03-31,-2.64,RKDA,-0.811965811965812
808,2017-12-31,-14.04,RKDA,0.2359154929577465
809,2017-09-30,-11.36,RKDA,0.26644370122630967
810,2017-06-30,-8.97,RKDA,0.9585152838427948
811,2017-03-31,-4.58,RKDA,-0.735106998264893
812,2016-12-31,-17.29,RKDA,0.32999999999999985
813,2016-09-30,-13.0,RKDA,0.43646408839778994
814,2016-06-30,-9.05,RKDA,0.8136272545090182
815,2016-03-31,-4.99,RKDA,-0.6727868852459016
816,2015-12-31,-15.25,RKDA,0.3567615658362988
817,2015-09-30,-11.24,RKDA,0.7004538577912254
818,2015-06-30,-6.61,RKDA,1.5325670498084292
819,2015-03-31,-2.61,RKDA,-0.8250670241286864
820,2014-12-31,-14.92,RKDA,0.22697368421052633
821,2014-09-30,-12.16,RKDA,0.4441805225653206
822,2014-06-30,-8.42,RKDA,2.9530516431924885
823,2014-03-31,-2.13,RKDA,
826,2021-09-30,-13.88,NUWE,0.4860813704496789
827,2021-06-30,-9.34,NUWE,0.7169117647058822
828,2021-03-31,-5.44,NUWE,-0.6769596199524941
829,2020-12-31,-16.84,NUWE,0.25953627524308165
830,2020-09-30,-13.37,NUWE,0.5141562853907133
831,2020-06-30,-8.83,NUWE,0.6025408348457351
832,2020-03-31,-5.51,NUWE,-0.6731909845788849
833,2019-12-31,-16.86,NUWE,0.31718749999999996
834,2019-09-30,-12.8,NUWE,0.41749723145071993
835,2019-06-30,-9.03,NUWE,0.824242424242424
836,2019-03-31,-4.95,NUWE,-0.6646341463414633
837,2018-12-31,-14.76,NUWE,0.2279534109816972
838,2018-09-30,-12.02,NUWE,0.39767441860465125
839,2018-06-30,-8.6,NUWE,0.6895874263261297
840,2018-03-31,-5.09,NUWE,-0.5821018062397373
841,2017-12-31,-12.18,NUWE,0.35634743875278385
842,2017-09-30,-8.98,NUWE,0.56993006993007
843,2017-06-30,-5.72,NUWE,2.5527950310559
844,2017-03-31,-1.61,NUWE,-0.9018890920170628
845,2016-12-31,-16.41,NUWE,0.20043891733723473
846,2016-09-30,-13.67,NUWE,0.490730643402399
847,2016-06-30,-9.17,NUWE,0.6087719298245613
848,2016-03-31,-5.7,NUWE,-0.7542043984476068
849,2015-12-31,-23.19,NUWE,0.2596414991852254
850,2015-09-30,-18.41,NUWE,0.4271317829457364
851,2015-06-30,-12.9,NUWE,0.8016759776536313
852,2015-03-31,-7.16,NUWE,-0.688695652173913
853,2014-12-31,-23.0,NUWE,0.3097949886104785
854,2014-09-30,-17.56,NUWE,0.4584717607973421
855,2014-06-30,-12.04,NUWE,0.789004457652303
856,2014-03-31,-6.73,NUWE,-0.6189127972819932
857,2013-12-31,-17.66,NUWE,0.49155405405405417
858,2013-09-30,-11.84,NUWE,0.5599472990777339
859,2013-06-30,-7.59,NUWE,0.8422330097087378
860,2013-03-31,-4.12,NUWE,-0.6888217522658611
861,2012-12-31,-13.24,NUWE,0.3510204081632653
862,2012-09-30,-9.8,NUWE,0.4161849710982659
863,2012-06-30,-6.92,NUWE,0.4238683127572016
864,2012-03-31,-4.86,NUWE,-0.6407982261640798
865,2011-12-31,-13.53,NUWE,0.39628482972136214
866,2011-09-30,-9.69,NUWE,0.5479233226837061
867,2011-06-30,-6.26,NUWE,1.2277580071174374
868,2011-03-31,-2.81,NUWE,
871,2021-12-31,3.49,IROQ,22.26666666666667
872,2021-09-30,0.15,IROQ,-0.9772382397572079
873,2021-06-30,6.59,IROQ,0.48089887640449436
874,2021-03-31,4.45,IROQ,0.9181034482758623
875,2020-12-31,2.32,IROQ,1.0350877192982457
876,2020-09-30,1.14,IROQ,-0.8308605341246291
877,2020-06-30,6.74,IROQ,0.446351931330472
878,2020-03-31,4.66,IROQ,0.3390804597701149
879,2019-12-31,3.48,IROQ,0.9550561797752808
880,2019-09-30,1.78,IROQ,-0.6204690831556503
881,2019-06-30,4.69,IROQ,0.6456140350877193
882,2019-03-31,2.85,IROQ,0.5833333333333333
883,2018-12-31,1.8,IROQ,-4.829787234042554
884,2018-09-30,-0.47,IROQ,22.499999999999996
885,2018-06-30,-0.02,IROQ,-0.9914163090128756
886,2018-03-31,-2.33,IROQ,-0.07905138339920936
887,2017-12-31,-2.53,IROQ,-0.20189274447949535
888,2017-09-30,-3.17,IROQ,-1.710762331838565
889,2017-06-30,4.46,IROQ,0.02764976958525356
890,2017-03-31,4.34,IROQ,0.8235294117647058
891,2016-12-31,2.38,IROQ,0.5454545454545454
892,2016-09-30,1.54,IROQ,-0.6986301369863014
893,2016-06-30,5.11,IROQ,0.21377672209026133
894,2016-03-31,4.21,IROQ,0.8304347826086957
895,2015-12-31,2.3,IROQ,0.3529411764705881
896,2015-09-30,1.7,IROQ,-0.6749521988527725
897,2015-06-30,5.23,IROQ,0.351421188630491
898,2015-03-31,3.87,IROQ,0.751131221719457
899,2014-12-31,2.21,IROQ,0.9385964912280702
900,2014-09-30,1.14,IROQ,-0.7828571428571429
901,2014-06-30,5.25,IROQ,0.4747191011235954
902,2014-03-31,3.56,IROQ,0.47107438016528924
903,2013-12-31,2.42,IROQ,0.7536231884057971
904,2013-09-30,1.38,IROQ,-0.7570422535211268
905,2013-06-30,5.68,IROQ,0.6608187134502923
906,2013-03-31,3.42,IROQ,0.6132075471698113
907,2012-12-31,2.12,IROQ,1.12
908,2012-09-30,1.0,IROQ,-0.8165137614678899
909,2012-06-30,5.45,IROQ,0.5889212827988337
910,2012-03-31,3.43,IROQ,0.2943396226415096
911,2011-12-31,2.65,IROQ,2.3974358974358974
912,2011-09-30,0.78,IROQ,-0.8378378378378378
913,2011-06-30,4.81,IROQ,0.7427536231884058
914,2011-03-31,2.76,IROQ,0.541899441340782
915,2010-12-31,1.79,IROQ,2.196428571428571
916,2010-09-30,0.56,IROQ,-0.29999999999999993
918,2010-03-31,0.8,IROQ,
920,2021-09-30,-3.25,FPI,-1.5898366606170597
921,2021-06-30,5.51,FPI,-0.8487095002745744
922,2021-03-31,36.42,FPI,-0.005733005733005725
923,2020-12-31,36.63,FPI,0.771276595744681
924,2020-09-30,20.68,FPI,0.38420348058902287
925,2020-06-30,14.94,FPI,0.25651808242220353
926,2020-03-31,11.89,FPI,-0.7306908267270669
927,2019-12-31,44.15,FPI,0.22502774694783567
928,2019-09-30,36.04,FPI,-0.14312886352829302
929,2019-06-30,42.06,FPI,1.5693341478313987
930,2019-03-31,16.37,FPI,1.7466442953020138
931,2018-12-31,5.96,FPI,9.456140350877194
932,2018-09-30,0.57,FPI,-1.0289487049263586
933,2018-06-30,-19.69,FPI,0.15823529411764703
934,2018-03-31,-17.0,FPI,-0.9250473964992725
935,2017-12-31,-226.81,FPI,0.9942847093994549
936,2017-09-30,-113.73,FPI,0.08666157080068793
937,2017-06-30,-104.66,FPI,0.22009792492422475
938,2017-03-31,-85.78,FPI,-0.3521637338569594
939,2016-12-31,-132.41,FPI,0.06963405767832609
940,2016-09-30,-123.79,FPI,0.18675103058191933
941,2016-06-30,-104.31,FPI,0.18386108273748736
942,2016-03-31,-88.11,FPI,-0.19305797234178956
943,2015-12-31,-109.19,FPI,0.13033126293995867
944,2015-09-30,-96.6,FPI,0.2038883349950149
945,2015-06-30,-80.24,FPI,8.67913148371532
946,2015-03-31,-8.29,FPI,-0.9334190024897598
947,2014-12-31,-124.51,FPI,2.5301956336830167
948,2014-09-30,-35.27,FPI,0.1655651024454725
949,2014-06-30,-30.26,FPI,215.14285714285714
950,2014-03-31,-0.14,FPI,-8.0
951,2013-12-31,0.02,FPI,-1.0108108108108107
952,2013-09-30,-1.85,FPI,0.29370629370629375
