,Date,Value,Ticker
425,2016-12-31,62.73,CCOI
426,2016-09-30,36.05,CCOI
427,2016-06-30,21.96,CCOI
428,2016-03-31,12.52,CCOI
429,2015-12-31,48.23,CCOI
430,2015-09-30,31.19,CCOI
431,2015-06-30,14.63,CCOI
432,2015-03-31,5.46,CCOI
433,2014-12-31,13.01,CCOI
434,2014-09-30,8.10,CCOI
435,2014-06-30,7.42,CCOI
436,2014-03-31,-4.99,CCOI
437,2013-12-31,32.82,CCOI
438,2013-09-30,13.63,CCOI
439,2013-06-30,8.89,CCOI
440,2013-03-31,-1.35,CCOI
441,2012-12-31,35.61,CCOI
442,2012-09-30,13.60,CCOI
443,2012-06-30,9.29,CCOI
444,2012-03-31,0.40,CCOI
445,2011-12-31,29.96,CCOI
446,2011-09-30,13.09,CCOI
447,2011-06-30,6.63,CCOI
448,2011-03-31,0.63,CCOI
449,2010-12-31,18.72,CCOI
450,2010-09-30,8.47,CCOI
451,2010-06-30,5.99,CCOI
452,2010-03-31,3.98,CCOI
453,2009-12-31,7.44,CCOI
454,2009-09-30,-1.20,CCOI
455,2009-06-30,0.72,CCOI
456,2009-03-31,1.07,CCOI
457,,,DLR
458,2021-09-30,"1,970.05",DLR
459,2021-06-30,"1,553.86",DLR
460,2021-03-31,"1,013.36",DLR
461,2020-12-31,"2,271.16",DLR
462,2020-09-30,"1,728.65",DLR
463,2020-06-30,"1,238.73",DLR
464,2020-03-31,753.02,DLR
465,2019-12-31,"1,513.82",DLR
466,2019-09-30,"1,036.97",DLR
467,2019-06-30,767.92,DLR
468,2019-03-31,341.62,DLR
469,2018-12-31,"1,671.53",DLR
470,2018-09-30,"1,203.06",DLR
471,2018-06-30,792.19,DLR
472,2018-03-31,374.17,DLR
473,2017-12-31,696.87,DLR
474,2017-09-30,657.40,DLR
475,2017-06-30,484.48,DLR
476,2017-03-31,205.48,DLR
477,2016-12-31,397.28,DLR
478,2016-09-30,113.09,DLR
479,2016-06-30,430.73,DLR
480,2016-03-31,215.05,DLR
481,2015-12-31,883.16,DLR
482,2015-09-30,676.35,DLR
483,2015-06-30,492.29,DLR
484,2015-03-31,182.20,DLR
485,2014-12-31,669.53,DLR
486,2014-09-30,486.21,DLR
487,2014-06-30,353.21,DLR
488,2014-03-31,116.41,DLR
489,2013-12-31,497.08,DLR
490,2013-09-30,297.03,DLR
491,2013-06-30,155.97,DLR
492,2013-03-31,10.86,DLR
493,2012-12-31,"-1,018.24",DLR
494,2012-09-30,"-1,095.56",DLR
495,2012-06-30,8.60,DLR
496,2012-03-31,-55.66,DLR
497,2011-12-31,204.35,DLR
498,2011-09-30,183.47,DLR
499,2011-06-30,169.98,DLR
500,2011-03-31,63.20,DLR
501,2010-12-31,-959.97,DLR
502,2010-09-30,-941.57,DLR
503,2010-06-30,-287.91,DLR
504,2010-03-31,-317.80,DLR
505,2009-12-31,145.81,DLR
506,2009-09-30,179.45,DLR
507,2009-06-30,124.38,DLR
508,2009-03-31,41.38,DLR
509,,,SOHO
510,2021-09-30,1.92,SOHO
511,2021-06-30,0.11,SOHO
512,2021-03-31,-1.76,SOHO
513,2020-12-31,-15.22,SOHO
514,2020-09-30,-9.33,SOHO
515,2020-06-30,-7.90,SOHO
516,2020-03-31,-0.28,SOHO
517,2019-12-31,3.46,SOHO
518,2019-09-30,4.70,SOHO
519,2019-06-30,5.59,SOHO
520,2019-03-31,0.10,SOHO
521,2018-12-31,-75.65,SOHO
522,2018-09-30,-76.26,SOHO
523,2018-06-30,-74.07,SOHO
524,2018-03-31,-79.02,SOHO
525,2017-12-31,-5.76,SOHO
526,2017-09-30,-0.62,SOHO
527,2017-06-30,1.10,SOHO
528,2017-03-31,1.17,SOHO
529,2016-12-31,3.28,SOHO
530,2016-09-30,4.30,SOHO
531,2016-06-30,4.67,SOHO
532,2016-03-31,1.67,SOHO
533,2015-12-31,-31.88,SOHO
534,2015-09-30,-29.86,SOHO
535,2015-06-30,-1.34,SOHO
536,2015-03-31,-1.15,SOHO
537,2014-12-31,-56.06,SOHO
538,2014-09-30,-49.58,SOHO
539,2014-06-30,-51.30,SOHO
540,2014-03-31,-58.82,SOHO
541,2013-12-31,-26.04,SOHO
542,2013-09-30,3.74,SOHO
543,2013-06-30,3.80,SOHO
544,2013-03-31,0.98,SOHO
545,2012-12-31,6.12,SOHO
546,2012-09-30,5.77,SOHO
547,2012-06-30,2.83,SOHO
548,2012-03-31,1.43,SOHO
549,2011-12-31,1.60,SOHO
550,2011-09-30,3.26,SOHO
551,2011-06-30,1.69,SOHO
552,2011-03-31,2.69,SOHO
553,2010-12-31,1.84,SOHO
554,2010-09-30,2.13,SOHO
555,2010-06-30,2.99,SOHO
556,2010-03-31,-0.52,SOHO
557,2009-12-31,-9.61,SOHO
558,2009-09-30,-8.85,SOHO
559,2009-06-30,-7.47,SOHO
560,2009-03-31,-8.12,SOHO
561,,,VYNT
562,2021-09-30,-14.51,VYNT
563,2021-06-30,-11.19,VYNT
564,2021-03-31,-4.61,VYNT
565,2020-12-31,-5.87,VYNT
566,2020-09-30,-4.35,VYNT
567,2020-06-30,-2.02,VYNT
568,2020-03-31,-1.54,VYNT
569,2019-12-31,-8.69,VYNT
570,2019-09-30,-6.16,VYNT
571,2019-06-30,-4.88,VYNT
572,2019-03-31,-4.48,VYNT
573,2018-12-31,-12.57,VYNT
574,2018-09-30,-11.46,VYNT
575,2018-06-30,-8.11,VYNT
576,2018-03-31,-4.69,VYNT
577,2017-12-31,-14.85,VYNT
578,2017-09-30,-11.44,VYNT
579,2017-06-30,-7.79,VYNT
580,2017-03-31,-2.57,VYNT
581,2016-12-31,-18.34,VYNT
582,2016-09-30,-17.64,VYNT
583,2016-06-30,-12.92,VYNT
584,2016-03-31,-6.11,VYNT
585,2015-12-31,-14.61,VYNT
586,2015-09-30,-10.39,VYNT
587,2015-06-30,-7.62,VYNT
588,2015-03-31,-3.19,VYNT
589,2014-12-31,-13.71,VYNT
590,2014-09-30,-8.85,VYNT
591,2014-06-30,-6.20,VYNT
592,2014-03-31,-2.08,VYNT
593,2013-12-31,-8.33,VYNT
594,2013-09-30,-6.67,VYNT
